shape,z,posx,posy,scale,angle,thickness,energy,curveX,curveY,spread1,spread2,hue_bias,lightness_bias,texture
spiral,1279,79.07,68.25,87.22,19.31,8.25,0.67,-25.62,22.1,120.03,120.93,79.65,-0.102,1.171
blob,1280,86.77,64.33,70.52,35.65,9.96,0.35,-9.45,40.03,134.23,108.7,58.55,-0.074,2.822
splatter,1281,78.97,80.78,139.56,82.97,4.72,0.444,-0.83,24.71,196.63,98.86,101.11,0.088,0.727
stroke,1282,72.07,65.3,80.24,208.15,5.7,0.825,33.64,-8.49,226.54,130.97,-1.03,0.013,0.5
stroke,1283,23.53,24.48,101.5,227.03,7.19,0.35,-22.37,1.15,183.79,69.32,-20.76,-0.003,0.702
stroke,1284,81.49,78.87,75.44,153.78,6.03,0.509,12.55,-40.3,83.54,38.36,-18.07,-0.167,1.502
splatter,1285,81.74,64.93,161.24,295.53,7.61,0.769,-13.82,25.02,180.56,75.32,-15.16,0.288,3.634
cloud,1286,74.35,71.95,71.82,346.5,10.48,0.558,-9.86,33.94,147.44,54.31,41.42,0.265,1.58
cloud,1287,5.62,27.9,131.65,125.73,8.1,0.777,-91.37,3.9,192.42,89.43,-30.39,-0.057,0.897
cloud,1288,13.18,41.36,78.06,116.58,7.13,0.903,-31.59,-7.09,176.8,62.04,-27.63,0.364,1.737
cloud,1289,31.8,29.2,84.61,97.12,9.95,0.438,-31.7,49.07,273.54,70.46,88.41,-0.24,1.0
spiral,1290,39.86,8.43,53.69,92.32,6.01,0.877,-24.9,-14.45,239.88,79.43,94.06,0.212,1.418
cloud,1291,75.1,77.65,43.12,150.15,8.86,0.35,28.67,-12.91,111.08,105.95,23.98,0.181,2.298
blob,1292,8.0,13.05,92.92,220.2,7.87,0.429,-76.6,27.26,200.3,89.95,26.34,-0.184,1.108
splatter,1293,80.84,78.24,88.69,340.17,4.73,0.54,6.66,-46.3,100.18,145.83,0.75,0.053,1.398
wave,1294,84.54,59.17,99.55,110.09,6.76,0.419,-16.42,12.15,178.62,89.44,31.7,-0.11,0.581
splatter,1295,14.3,15.78,115.79,268.54,6.95,0.784,-15.09,-24.1,103.92,55.86,33.1,-0.115,0.5
wave,1296,25.19,26.51,183.9,357.88,6.94,0.633,21.17,18.72,193.92,42.5,-20.03,0.031,1.597
spiral,1297,13.65,45.88,77.14,196.34,2.7,0.35,19.35,7.91,153.56,83.57,30.76,0.108,1.368
spiral,1298,30.21,29.86,64.99,68.78,10.31,0.475,6.99,8.36,75.92,25.0,22.07,-0.188,2.232
cloud,1299,90.73,75.5,81.68,306.79,7.31,0.534,17.33,-32.44,168.84,179.47,-11.26,-0.128,1.175
cloud,1300,22.25,20.36,58.99,199.66,7.93,0.875,-13.49,36.08,60.0,166.37,37.88,-0.095,0.5
splatter,1301,75.01,70.07,85.01,93.24,7.85,0.921,-4.99,25.97,69.09,92.45,11.74,0.2,1.035
splatter,1302,32.01,38.31,61.14,40.64,7.81,0.663,-36.35,-23.25,108.78,25.0,120.0,0.049,2.272
stroke,1303,83.45,66.47,72.75,144.09,8.82,0.885,-27.36,-13.98,154.14,92.83,-10.68,-0.037,1.222
spiral,1304,13.74,25.71,96.92,150.95,9.25,0.396,-17.34,-2.28,130.85,31.69,14.89,0.1,1.268
spiral,1305,83.37,69.38,115.54,291.73,6.3,0.571,13.36,-7.62,164.23,25.0,54.92,0.276,1.803
spiral,1306,13.87,13.58,35.63,347.1,7.88,0.377,-69.96,-21.13,107.85,94.15,9.08,-0.264,1.208
cloud,1307,14.02,37.36,104.35,147.55,9.07,0.879,8.8,4.56,227.13,81.71,77.04,-0.328,0.763
blob,1308,82.39,77.1,86.36,47.22,8.75,0.761,-36.2,27.87,124.16,25.0,-8.39,-0.004,1.772
spiral,1309,83.83,79.91,171.42,308.73,8.91,0.943,38.48,13.32,60.0,45.05,-49.25,0.168,2.16
cloud,1310,24.62,40.81,35.0,250.79,5.41,0.724,-64.72,-18.06,151.08,79.25,93.48,-0.028,0.914
spiral,1311,94.65,75.59,36.13,213.49,6.96,0.832,11.62,15.23,220.08,74.2,-16.37,-0.159,1.762
stroke,1312,78.91,92.5,64.19,320.12,3.32,0.455,-42.8,-1.61,222.29,96.69,-11.2,-0.155,4.35
stroke,1313,63.2,86.11,35.0,107.7,3.76,0.42,-41.37,-51.89,229.56,67.07,62.46,-0.16,0.975
spiral,1314,72.4,77.8,63.79,54.8,8.81,0.673,15.84,7.82,122.66,25.0,-2.75,0.022,1.495
cloud,1315,77.13,89.75,96.74,171.38,3.24,0.757,-35.39,23.41,80.7,74.2,2.24,0.21,0.89
wave,1316,79.31,80.76,35.0,21.72,10.71,0.485,21.7,1.82,219.39,45.39,-48.85,0.068,2.53
spiral,1317,15.03,8.54,112.16,266.55,2.0,0.607,-4.12,-14.13,60.0,163.95,49.93,0.117,1.658
cloud,1318,15.47,32.57,95.44,198.17,10.01,0.718,3.89,14.71,152.18,175.91,-43.44,0.391,2.085
spiral,1319,73.8,69.36,84.05,219.55,4.74,0.818,-70.73,2.14,60.0,108.69,9.65,-0.214,1.891
spiral,1320,26.76,30.14,74.61,198.49,7.87,0.49,-27.41,-19.09,110.37,67.67,29.23,0.101,3.81
wave,1321,70.65,70.29,108.91,304.89,6.7,0.808,-31.26,-24.52,194.11,67.43,47.67,0.15,1.875
spiral,1322,80.89,77.9,99.61,82.77,3.69,0.828,-22.79,-34.09,147.37,113.59,74.86,0.327,0.995
splatter,1323,86.16,81.67,60.6,252.58,9.6,0.375,-23.92,23.95,130.26,101.06,6.95,0.213,1.335
cloud,1324,13.35,25.79,67.29,221.56,12.19,0.956,-0.87,-5.9,153.63,130.66,29.01,0.189,0.752
wave,1325,82.24,77.94,106.75,277.84,8.13,0.933,-56.25,-23.81,120.92,98.14,55.14,-0.206,1.874
stroke,1326,80.51,46.31,67.64,136.94,6.56,0.589,-29.23,21.98,161.46,124.24,45.95,-0.012,0.534
wave,1327,13.24,33.77,80.72,342.71,6.54,0.809,-54.73,-26.15,215.08,55.14,49.17,0.034,1.131
splatter,1328,8.17,23.44,56.57,349.24,9.6,0.63,-8.75,-31.21,87.5,79.52,54.91,-0.214,1.767
blob,1329,80.9,58.11,56.65,40.76,10.23,0.498,42.09,-25.36,220.0,78.63,93.32,0.153,1.629
stroke,1330,86.23,82.85,69.33,211.46,10.26,0.547,29.9,31.46,160.55,85.63,0.36,-0.297,1.868
stroke,1331,77.45,65.04,59.24,50.72,11.08,0.35,-31.44,45.32,167.93,144.02,88.38,-0.262,2.263
spiral,1332,36.3,36.36,112.24,44.47,9.52,0.741,-1.89,-12.23,65.83,67.4,84.33,0.413,1.751
wave,1333,80.94,82.13,136.55,182.51,6.74,0.635,5.71,-20.14,172.34,51.62,52.93,-0.126,1.689
cloud,1334,70.74,72.59,80.12,77.5,5.66,0.586,-62.18,52.94,95.77,58.52,64.59,-0.062,1.07
stroke,1335,23.44,22.15,99.07,66.73,6.24,0.35,2.54,-10.08,118.26,62.1,-38.91,-0.193,1.391
splatter,1336,24.43,22.84,76.54,215.45,3.36,0.721,-51.55,-0.83,162.5,41.5,42.57,0.109,0.813
wave,1337,68.51,60.24,35.0,10.43,9.5,0.365,-51.84,10.6,189.95,29.47,-1.19,0.45,0.789
splatter,1338,76.31,83.48,69.79,228.83,11.43,0.466,-11.92,-22.65,197.94,79.17,22.28,-0.276,2.12
spiral,1339,27.27,29.11,49.4,320.05,6.84,0.743,25.08,7.85,122.37,102.85,120.0,0.283,1.766
wave,1340,82.09,73.68,192.48,246.43,7.18,0.651,-19.4,35.6,134.37,25.0,93.36,0.45,1.689
cloud,1341,81.0,70.74,46.65,346.73,6.48,0.624,-7.5,-2.35,200.64,101.5,-58.05,-0.037,0.548
spiral,1342,16.9,30.99,56.96,192.17,6.34,0.538,-11.03,33.35,119.02,70.44,24.08,0.384,1.35
blob,1343,15.81,15.21,99.64,82.38,9.64,0.636,-4.2,-47.58,272.42,127.68,42.15,0.357,1.953
splatter,1344,23.74,25.09,116.97,303.42,8.17,0.491,-25.2,-10.6,316.43,128.54,-69.72,-0.068,3.506
blob,1345,16.1,35.84,91.2,312.09,5.7,0.72,38.3,24.15,177.32,77.82,-86.54,-0.056,2.564
stroke,1346,76.2,70.43,115.99,39.87,8.24,0.35,1.73,8.18,169.38,86.48,97.94,0.098,1.87
cloud,1347,69.53,64.79,89.81,68.92,10.48,0.478,4.47,26.65,169.72,122.81,64.88,0.174,1.02
wave,1348,29.9,23.66,52.67,314.35,7.4,0.67,11.57,-15.11,186.9,176.02,66.18,-0.168,0.883
cloud,1349,83.77,52.98,62.5,253.92,9.5,0.51,-30.29,18.51,152.43,135.26,68.58,0.09,1.328
stroke,1350,15.34,36.61,107.3,354.85,12.6,0.355,-39.1,35.81,113.35,79.11,46.22,0.091,2.25
spiral,1351,67.02,60.4,35.0,26.93,10.44,0.767,-2.01,40.15,167.81,25.0,48.01,-0.132,0.911
spiral,1352,79.07,71.73,47.29,293.24,3.13,0.428,-1.5,-21.75,95.06,137.4,91.9,0.111,3.637
cloud,1353,87.08,62.49,55.31,59.56,9.77,0.952,-17.84,-23.24,60.0,116.57,55.74,-0.163,2.41
cloud,1354,10.38,41.52,110.79,56.83,5.07,0.914,-39.11,15.47,157.56,53.2,118.05,0.402,2.321
cloud,1355,78.15,69.51,50.28,207.5,6.97,0.943,43.98,-21.0,62.32,86.31,17.81,-0.001,0.802
cloud,1356,16.4,19.92,114.72,79.62,7.7,0.603,-12.9,47.0,155.16,108.31,38.83,0.038,2.336
blob,1357,36.05,29.35,58.46,28.72,3.62,0.564,-18.53,43.68,105.16,31.78,-73.16,-0.326,1.477
wave,1358,22.28,14.74,44.41,0.42,6.56,0.822,41.13,9.51,147.72,25.0,0.87,0.128,3.279
cloud,1359,69.41,66.78,148.08,30.0,11.46,0.35,7.34,-17.63,94.99,78.46,120.0,-0.127,1.07
splatter,1360,86.92,75.53,167.83,290.62,5.57,0.832,-28.54,-12.87,129.9,76.58,120.0,0.185,2.345
stroke,1361,19.8,15.59,87.45,49.68,4.78,0.544,-32.5,-8.1,85.36,88.12,58.07,0.103,1.458
stroke,1362,33.72,33.98,122.8,104.62,8.07,0.864,-56.32,8.95,122.15,62.07,-17.09,-0.317,0.781
blob,1363,93.24,71.87,46.31,264.67,9.95,0.582,-23.76,-5.73,200.03,56.1,120.0,0.046,3.277
wave,1364,61.64,71.34,63.87,238.07,8.12,0.807,-28.52,18.58,141.34,135.38,-43.98,0.104,1.846
spiral,1365,25.47,21.83,66.34,164.3,11.09,0.448,8.4,11.78,78.14,68.74,88.71,0.245,2.607
cloud,1366,74.35,89.38,79.73,126.63,10.3,0.861,-42.91,9.38,73.57,151.16,46.77,0.106,0.923
wave,1367,82.4,68.15,36.8,185.2,5.76,0.471,53.47,2.19,72.14,109.87,30.09,0.253,2.801
splatter,1368,27.2,23.83,55.57,344.8,10.54,0.815,-10.76,10.04,157.45,104.61,-31.28,0.011,3.323
splatter,1369,15.44,12.65,47.43,261.72,10.67,0.817,-26.74,-12.56,152.02,109.04,55.7,-0.197,0.646
wave,1370,26.09,17.8,114.8,333.49,4.73,0.861,22.63,16.73,123.03,122.53,31.22,0.197,0.683
splatter,1371,30.5,36.43,80.28,309.99,8.18,0.67,78.71,-0.75,180.94,91.49,27.39,-0.015,1.393
wave,1372,78.62,76.85,62.11,215.72,6.39,0.897,69.16,-13.41,205.8,69.72,-15.28,0.206,0.603
spiral,1373,71.18,59.01,84.21,159.39,13.72,0.35,-13.03,2.27,257.94,117.5,49.0,0.302,0.715
stroke,1374,10.15,28.5,38.13,345.77,2.0,0.777,-0.71,-28.31,208.21,56.42,33.76,0.057,3.185
wave,1375,22.12,32.73,121.85,357.48,10.03,0.35,-34.73,20.79,217.8,145.79,52.13,0.009,3.27
wave,1376,18.38,25.84,46.79,212.76,6.34,0.648,-23.69,40.25,60.0,138.8,76.57,0.45,1.029
cloud,1377,24.43,36.03,40.2,38.85,11.79,0.575,-28.31,-8.29,111.76,87.57,-14.87,0.346,0.796
spiral,1378,36.53,32.44,83.5,330.96,4.77,0.393,-4.74,-28.4,160.52,69.97,118.27,0.082,1.523
spiral,1379,23.84,29.6,132.55,192.9,7.57,0.35,-23.11,-8.81,212.1,137.05,-12.13,0.194,0.5
spiral,1380,10.29,20.5,44.82,356.01,6.13,0.708,-32.46,-8.64,131.04,25.0,-19.29,-0.424,0.835
splatter,1381,10.99,40.29,43.52,138.9,7.17,0.65,24.14,-9.2,189.32,108.79,-6.95,0.324,0.702
spiral,1382,67.63,55.73,48.65,265.98,5.63,0.819,35.6,-5.84,60.0,60.93,18.71,-0.049,0.899
stroke,1383,25.61,35.58,171.76,55.99,9.34,0.854,23.8,6.74,133.01,76.82,56.11,-0.091,1.426
stroke,1384,17.59,30.87,108.9,131.09,6.22,0.531,-1.73,-23.45,168.7,111.66,63.19,-0.37,2.913
splatter,1385,70.67,65.38,124.16,53.87,5.76,0.428,-36.67,-1.66,154.84,25.0,19.17,-0.127,3.107
stroke,1386,70.42,81.92,87.34,94.77,7.66,0.769,-24.63,-57.47,162.24,113.98,40.73,-0.148,0.786
wave,1387,71.66,87.58,94.63,269.69,8.83,0.8,30.0,28.4,178.97,101.78,4.36,-0.197,0.539
stroke,1388,68.39,90.02,85.37,22.21,7.8,0.647,-11.77,5.75,275.28,167.5,-45.88,0.34,1.219
wave,1389,73.11,68.23,55.56,243.17,6.27,0.714,-28.56,17.21,177.23,85.46,120.0,0.45,2.642
stroke,1390,75.43,88.16,109.43,66.53,2.0,0.392,-7.95,23.56,250.45,94.76,40.37,-0.181,1.088
blob,1391,9.02,22.95,109.41,199.69,8.28,0.925,3.86,3.59,136.68,94.77,22.83,-0.004,1.134
wave,1392,94.08,77.84,145.13,304.83,8.78,0.35,50.1,-11.71,159.66,112.37,16.02,0.027,0.774
cloud,1393,23.99,34.23,110.01,64.49,2.97,0.806,-19.77,7.26,202.16,93.16,90.43,0.306,1.443
spiral,1394,24.33,37.05,65.13,213.46,7.84,0.543,-28.73,-33.56,139.73,64.18,23.69,0.052,2.793
spiral,1395,30.28,38.42,75.58,26.03,6.75,0.965,-3.39,29.26,320.0,25.0,-11.14,0.326,1.903
wave,1396,67.43,89.09,35.0,153.97,6.75,0.576,41.77,-11.15,150.44,98.09,16.17,-0.401,0.76
cloud,1397,77.13,79.11,35.83,277.24,10.9,0.35,-4.78,-41.67,197.75,107.33,-22.19,0.248,2.567
blob,1398,87.8,79.02,174.62,332.3,4.87,0.787,-63.42,-20.38,156.77,94.4,-12.01,0.254,2.587
splatter,1399,10.87,43.74,107.29,330.22,5.95,0.645,11.36,-21.65,194.95,97.01,40.92,0.268,1.073
stroke,1400,68.48,75.2,119.44,21.55,6.86,0.636,-15.27,43.86,205.1,85.01,41.43,-0.166,1.267
spiral,1401,20.33,21.21,96.36,277.1,5.78,0.59,-36.68,-35.23,131.14,98.27,-26.49,0.272,0.5
stroke,1402,79.33,79.98,52.27,194.84,6.74,0.562,-2.49,9.94,112.41,40.21,53.4,0.029,1.699
wave,1403,91.32,80.86,51.29,275.1,8.61,0.89,-6.67,-8.76,109.45,90.14,-15.87,-0.079,2.328
stroke,1404,28.7,45.4,79.63,42.78,6.56,0.364,12.44,54.5,267.4,87.87,6.35,0.184,0.5
spiral,1405,31.25,21.75,73.85,325.24,9.98,0.704,-24.77,-10.46,130.43,112.41,56.48,0.013,0.839
splatter,1406,68.54,65.45,87.67,35.28,10.6,0.702,8.94,-34.45,72.56,119.72,-23.28,-0.032,2.188
wave,1407,24.22,21.94,134.4,149.25,6.14,0.72,28.39,-49.34,60.0,71.93,15.11,-0.026,1.172
wave,1408,12.7,35.56,81.87,274.84,6.54,0.956,-1.54,7.14,258.13,47.81,39.25,-0.25,5.5
cloud,1409,3.38,37.2,97.31,147.36,5.72,0.715,17.7,-23.7,133.17,116.83,93.34,0.25,1.99
spiral,1410,25.8,20.65,35.0,184.62,10.3,0.767,-14.37,-43.27,221.25,41.91,36.21,0.026,1.073
splatter,1411,82.4,68.43,98.13,357.65,4.64,0.738,57.69,2.16,186.89,177.88,18.66,0.275,2.767
spiral,1412,68.84,77.82,49.17,209.53,6.94,0.678,-23.9,-31.01,197.21,97.04,-12.36,0.165,2.406
cloud,1413,77.44,60.21,122.72,62.2,8.13,0.35,-10.09,-1.22,178.16,154.61,66.73,0.034,1.511
stroke,1414,21.97,25.28,74.18,204.0,7.09,0.776,13.97,-50.61,73.42,49.98,-19.1,-0.123,1.753
stroke,1415,14.37,21.49,76.89,148.45,6.28,0.811,-25.22,-13.0,183.91,98.35,-21.49,0.012,1.022
stroke,1416,17.1,29.06,46.2,138.37,7.62,0.971,-2.07,1.83,249.66,149.02,-32.96,-0.146,1.149
wave,1417,75.77,75.31,76.1,47.66,9.28,0.433,-9.44,25.52,193.28,96.62,37.78,0.16,1.467
blob,1418,24.13,27.3,39.13,30.69,3.0,0.41,-39.29,-11.51,200.09,143.67,109.71,-0.051,1.711
stroke,1419,33.33,41.39,80.73,97.81,6.71,0.971,5.59,-2.53,196.6,153.84,64.46,-0.038,1.102
splatter,1420,17.22,30.87,80.62,311.32,7.33,0.77,61.97,4.44,141.54,84.21,-5.29,0.353,1.313
stroke,1421,70.55,65.67,120.29,281.04,14.84,0.926,-12.2,41.55,68.95,48.62,-80.98,-0.023,0.973
cloud,1422,74.71,82.6,106.57,36.77,9.06,0.891,-17.55,-33.7,232.27,105.66,-8.46,-0.022,2.426
stroke,1423,67.42,82.52,89.59,170.06,9.31,0.865,23.31,-18.78,157.23,66.91,8.55,-0.232,3.78
splatter,1424,23.82,32.94,93.39,270.02,12.96,0.595,-11.63,-15.15,190.38,29.19,93.01,0.397,2.234
cloud,1425,24.05,22.55,52.1,121.45,7.68,0.924,-42.04,12.16,77.77,73.23,-7.14,0.223,1.867
stroke,1426,29.68,46.36,35.0,82.34,6.64,0.468,58.92,34.37,203.13,104.85,60.54,-0.105,2.962
cloud,1427,37.09,18.68,121.56,101.12,4.03,0.511,41.22,-11.13,160.2,168.26,83.22,-0.261,0.824
spiral,1428,68.75,65.66,114.85,39.39,10.69,0.716,6.48,24.95,149.88,84.66,25.83,0.394,1.66
blob,1429,88.08,76.13,67.87,105.79,4.55,0.978,-13.34,-3.28,137.78,109.49,33.1,0.306,1.794
wave,1430,76.23,77.5,65.67,297.39,9.99,0.608,60.8,-18.58,83.69,42.63,-38.68,0.394,0.749
wave,1431,27.98,24.31,35.0,149.26,11.5,0.35,-45.62,-44.5,198.51,91.23,120.0,-0.45,2.915
wave,1432,8.76,35.07,134.74,67.02,10.17,0.824,-14.01,68.97,201.73,32.12,-18.27,0.02,1.303
splatter,1433,26.56,24.41,88.34,317.48,9.32,0.607,5.1,-1.63,73.29,108.09,39.36,0.211,0.535
blob,1434,69.39,77.03,100.37,359.31,7.45,0.837,20.06,41.13,149.89,135.21,120.0,0.184,1.11
stroke,1435,16.03,42.29,107.32,140.74,3.18,0.867,24.13,-52.17,247.44,141.6,-9.64,-0.038,0.957
blob,1436,21.8,28.21,83.16,295.72,5.6,0.845,-25.96,-59.21,225.17,46.47,29.91,0.191,1.337
wave,1437,72.82,70.21,68.68,151.48,10.26,0.563,9.78,-5.78,239.27,152.85,-52.88,0.164,0.652
stroke,1438,31.1,46.54,74.35,330.2,3.4,0.613,25.9,5.37,79.92,113.15,118.94,0.135,2.038
stroke,1439,13.09,30.67,97.32,43.66,9.37,0.625,-25.31,-14.85,140.91,126.11,47.59,-0.223,3.544
wave,1440,24.18,29.17,82.3,240.13,4.46,0.63,25.86,-52.7,116.98,134.51,-7.97,0.093,1.132
blob,1441,21.34,27.03,134.8,105.7,7.62,0.835,23.12,-38.51,189.11,126.2,6.13,0.394,3.656
stroke,1442,77.54,80.65,66.77,198.38,8.08,0.764,-21.91,51.49,218.95,57.03,92.71,-0.046,1.704
wave,1443,19.33,29.31,76.28,269.42,7.97,0.511,-16.2,33.57,113.65,95.91,56.33,0.223,1.546
spiral,1444,0.0,25.06,134.46,188.65,6.85,0.701,-31.34,40.88,193.32,131.58,-44.1,-0.364,0.707
splatter,1445,78.55,70.99,162.79,2.36,7.16,0.864,-22.93,13.6,93.96,66.73,8.09,0.339,1.916
blob,1446,71.24,69.72,74.22,226.72,7.74,0.928,41.7,-6.62,132.4,65.46,20.35,-0.148,1.836
stroke,1447,14.9,38.11,133.06,21.49,9.33,0.838,-21.59,-14.34,146.26,148.45,61.3,0.172,0.894
splatter,1448,91.53,72.23,109.25,302.9,4.54,0.663,7.39,-18.41,232.24,72.39,93.9,0.086,1.938
splatter,1449,17.26,28.03,35.0,243.92,6.08,0.35,-6.71,-1.81,187.04,65.79,-5.3,0.171,0.9
stroke,1450,68.43,77.49,108.42,279.22,7.59,0.874,-12.19,-11.38,320.0,74.9,89.64,0.299,1.627
spiral,1451,84.0,82.37,119.61,336.48,9.06,0.612,9.16,-24.07,221.59,125.34,45.02,-0.036,3.02
stroke,1452,74.57,63.53,97.87,114.85,4.86,0.68,-51.32,7.06,152.27,106.25,-89.47,0.332,1.325
stroke,1453,30.13,34.17,84.07,347.3,9.57,0.406,-0.84,9.0,231.87,149.86,21.67,-0.189,2.036
cloud,1454,43.5,26.09,119.04,277.76,8.35,0.376,-39.22,-6.71,169.5,27.21,91.79,0.224,1.655
stroke,1455,76.47,62.8,39.05,107.42,7.75,0.585,3.81,41.07,206.08,74.98,6.27,-0.262,1.426
wave,1456,77.58,85.44,84.55,149.58,13.28,0.685,-55.73,-18.62,200.87,48.51,120.0,0.06,0.789
spiral,1457,89.25,83.3,85.88,270.85,10.36,0.416,-23.13,9.83,91.75,87.28,-8.11,0.174,1.534
splatter,1458,31.94,31.26,38.3,217.97,7.49,0.805,-23.94,40.75,212.31,25.0,70.83,0.415,1.119
wave,1459,77.7,75.59,45.43,204.83,11.13,0.907,29.72,2.22,195.89,124.79,72.61,0.007,3.583
blob,1460,85.51,54.36,129.84,191.56,3.97,0.836,-0.31,12.16,263.44,58.74,5.26,-0.118,1.824
cloud,1461,66.73,75.94,220.0,313.55,7.02,0.585,10.6,6.5,201.98,140.2,39.48,0.05,0.71
splatter,1462,18.35,46.08,147.39,278.46,7.06,0.35,-10.25,5.84,100.14,147.47,81.6,-0.111,1.475
stroke,1463,18.77,20.64,91.85,105.93,9.93,0.929,-3.61,19.58,182.75,87.36,-11.64,0.208,0.624
stroke,1464,18.75,41.59,135.62,272.13,9.03,0.608,-70.23,-59.46,199.41,70.53,35.86,0.303,1.686
stroke,1465,14.95,19.95,41.38,85.52,9.03,0.489,15.83,-23.9,197.82,104.63,37.87,0.155,1.903
spiral,1466,14.25,29.93,58.53,334.14,7.81,0.35,10.89,-33.09,146.37,94.29,18.07,-0.017,3.019
wave,1467,21.54,37.03,134.1,240.36,9.21,0.641,23.93,-15.83,169.38,92.58,-22.87,-0.127,0.853
stroke,1468,20.76,28.75,37.08,79.43,6.11,0.831,20.79,13.7,60.0,80.86,28.84,0.217,2.379
wave,1469,78.97,87.76,102.24,339.26,10.27,0.836,-21.03,-4.29,150.42,77.67,12.23,0.45,1.394
splatter,1470,73.44,86.03,82.0,265.76,2.68,0.912,1.15,-41.32,155.3,25.0,-10.6,0.102,0.974
stroke,1471,80.0,72.97,68.72,17.97,5.92,0.819,41.42,1.31,84.47,66.97,37.41,0.271,0.647
cloud,1472,23.61,37.67,63.38,202.18,7.82,0.437,-63.25,-26.13,157.47,77.89,44.49,0.378,1.212
stroke,1473,75.26,68.07,91.58,24.68,4.75,0.491,-39.57,-2.96,158.78,105.68,14.06,0.277,1.947
cloud,1474,68.49,71.53,84.8,206.37,7.2,0.389,8.27,-10.9,250.85,144.11,120.0,0.45,4.118
stroke,1475,83.59,66.62,112.78,324.63,9.28,0.35,-4.49,20.23,172.37,169.93,120.0,-0.231,0.91
stroke,1476,62.76,75.58,99.26,292.7,7.98,0.35,7.05,-7.73,265.97,113.9,11.44,0.158,2.206
cloud,1477,76.57,63.18,88.98,246.87,2.68,0.376,8.45,-33.52,101.19,68.91,-2.54,0.004,0.5
splatter,1478,78.09,82.48,77.11,163.98,2.88,0.804,-14.9,38.45,218.06,68.41,34.8,-0.193,0.934
splatter,1479,29.4,20.59,55.46,112.59,5.1,0.674,-37.47,-30.02,203.81,115.9,29.45,-0.352,1.911
wave,1480,37.47,35.32,96.11,195.71,6.34,0.652,-18.37,-12.86,247.57,122.35,120.0,0.404,1.802
spiral,1481,38.59,33.57,94.0,14.23,6.8,0.707,-66.11,12.86,154.42,79.27,-48.47,-0.076,2.329
blob,1482,74.31,74.2,70.9,294.0,8.26,0.678,9.78,-33.44,143.15,111.56,12.73,0.343,0.853
spiral,1483,23.65,28.87,128.71,209.22,2.78,0.86,-29.03,-28.83,175.25,140.91,15.58,0.364,1.375
spiral,1484,15.54,35.15,35.0,332.53,12.97,0.755,-32.8,64.77,158.71,26.0,-5.35,-0.005,3.032
wave,1485,19.74,26.79,63.21,332.72,11.72,0.736,-14.49,24.66,106.94,70.25,-0.89,-0.237,1.602
wave,1486,11.78,23.62,106.19,61.91,5.17,0.651,42.11,-20.14,168.84,54.89,-63.65,0.173,1.295
stroke,1487,33.49,37.52,54.04,52.33,7.47,0.549,63.47,15.81,145.35,80.14,73.91,0.095,1.296
stroke,1488,66.45,60.82,113.29,183.75,7.69,0.71,5.46,-19.38,178.09,48.68,-27.9,-0.307,1.324
cloud,1489,76.24,92.22,63.24,51.65,7.91,0.537,-15.54,11.16,221.49,25.0,73.07,0.04,2.131
cloud,1490,79.06,65.39,112.29,94.49,7.25,0.35,38.82,44.71,142.12,152.3,84.31,-0.15,2.775
spiral,1491,83.64,74.03,86.08,7.77,3.43,0.365,-2.18,21.72,147.79,41.17,59.5,0.378,0.905
spiral,1492,24.69,45.65,70.14,10.12,6.18,0.35,-4.97,-37.46,282.58,206.25,-42.31,0.129,1.506
splatter,1493,72.99,74.73,115.28,122.56,6.65,0.35,-19.15,23.51,151.16,43.62,37.08,0.22,1.604
splatter,1494,25.17,38.1,151.16,144.4,9.57,0.882,-36.7,31.01,110.19,87.23,49.57,-0.098,1.249
stroke,1495,58.72,71.0,140.95,187.98,6.94,0.484,13.22,-21.88,60.0,116.46,0.89,0.338,0.714
splatter,1496,27.84,36.32,137.81,189.32,8.17,0.551,-4.12,-49.43,131.56,103.81,-2.75,0.129,1.605
wave,1497,13.52,9.42,77.25,303.29,4.5,0.745,33.92,-14.37,107.17,145.53,103.28,-0.248,2.225
spiral,1498,89.3,56.01,48.72,336.5,6.88,0.768,-45.84,40.19,171.84,25.0,69.73,-0.062,0.778
spiral,1499,72.92,67.38,79.75,147.45,7.01,0.35,-6.4,31.86,251.92,25.0,68.31,-0.079,1.509
splatter,1500,71.2,81.87,140.86,327.16,7.04,0.658,13.71,34.53,172.91,137.32,-28.4,0.087,0.5
blob,1501,76.23,90.05,113.97,86.52,7.09,0.942,11.45,-12.11,178.2,130.51,-19.6,0.055,1.833
spiral,1502,78.69,82.46,75.06,36.71,9.21,0.35,-8.81,13.69,268.54,25.0,74.17,0.23,5.5
spiral,1503,25.02,38.55,40.6,88.26,7.06,0.957,27.34,-11.98,186.44,84.58,52.89,-0.039,1.75
blob,1504,73.29,78.68,50.81,4.62,10.5,0.767,21.59,18.87,224.94,74.12,49.26,-0.274,0.715
spiral,1505,86.17,64.03,126.09,180.21,9.61,0.692,15.6,42.44,76.99,127.16,62.12,0.079,1.599
splatter,1506,17.26,15.33,58.22,138.92,8.49,0.585,-11.9,13.22,138.78,104.94,95.94,0.45,0.887
wave,1507,81.11,67.22,96.07,350.06,9.03,0.791,44.73,40.31,82.71,114.14,-23.81,0.168,1.34
cloud,1508,8.89,22.94,131.77,213.08,8.06,0.96,-38.67,-37.6,267.32,175.71,120.0,0.044,2.178
